timestamp,millis,sensor,nano,altitude,climb,pressure,altitude_raw,latitude,longitude,altitude_gps,vN,vE,groundSpeed,speed,bearing,glide,glideAngle,hAcc,vAcc,sAcc,pdop,hdop,vdop,gpsFix,numSat,groundDistance,flightMode,jumpNumber,gX,gY,gZ,rotX,rotY,rotZ,acc
20120427-120716.837,1335553636837,Alti,318478102904000,1483.3676115457752,-23.017805256015553,808.4199829101563,1467.7095716664621,,,,,,,,,,,,,,,,,,,,Flight,2,7.356302261352539,-2.9124934673309326,5.799689292907715,0.3888019323348999,-0.2307145595550537,0.8807746171951294,9.440818786621094
20120427-120716.952,1335553636952,Alti,318478305450000,1477.3016852947812,-23.268810717686964,809.4199829101563,1457.7200480408067,,,,,,,,,,,,,,,,,,,,Flight,2,7.418872356414795,-3.4742751121520996,5.396727561950684,0.39516422152519226,-0.26225489377975464,0.8707610964775085,12.687145233154297
20120427-120717.352,1335553637352,Alti,318478705565000,1466.0560305096649,-23.6139561491488,811.1099853515625,1440.8604213428612,,,,,,,,,,,,,,,,,,,,Flight,2,7.427404403686523,-3.731290817260742,5.210215091705322,0.4134085476398468,-0.25205641984939575,0.8720234036445618,11.589427947998047
20120427-120717.599,1335553637599,Alti,318478906585000,1459.7430438260333,-23.893918615239535,811.2699584960938,1439.265988015954,,,,,,,,,,,,,,,,,,,,Flight,2,7.48189115524292,-3.7047958374023438,5.150938510894775,0.4242655336856842,-0.2397153377532959,0.8719345927238464,11.05310344696045
20120427-120717.869,1335553637869,Alti,318479103911000,1452.9701053125732,-24.262627673369206,812.6099853515625,1425.9200879668151,,,,,,,,,,,,,,,,,,,,Flight,2,7.724237442016602,-3.7564384937286377,4.739144802093506,0.44689223170280457,-0.24235258996486664,0.8602902889251709,11.834348678588867
20120427-120717.925,1335553637925,Alti,318479304961000,1445.912457815911,-24.653836589992206,813.489990234375,1417.1654343175305,,,,,,,,,,,,,,,,,,,,Flight,2,7.610922813415527,-3.9112164974212646,4.796924591064453,0.44195228815078735,-0.24531911313533783,0.8623989820480347,12.171819686889648
20120427-120718.197,1335553638197,Alti,318479515960000,1438.6930974752904,-25.016428218922332,814.0,1412.0951550657549,,,,,,,,,,,,,,,,,,,,Flight,2,7.337441921234131,-3.8311331272125244,5.26500129699707,0.4239731729030609,-0.22780123353004456,0.8764960169792175,9.72933578491211
20120427-120718.412,1335553638412,Alti,318479703460000,1431.9475649407207,-25.386367711786285,814.75,1404.6436756147525,,,,,,,,,,,,,,,,,,,,Flight,2,7.123985767364502,-3.7056939601898193,5.634732723236084,0.4070066511631012,-0.217129185795784,0.8871948719024658,10.847723007202148
20120427-120718.618,1335553638618,Alti,318479906585000,1424.5564538680335,-25.789055766335455,815.739990234375,1394.816319581096,,,,,,,,,,,,,,,,,,,,Flight,2,7.25885534286499,-3.6407289505004883,5.503605365753174,0.4103207588195801,-0.22610843181610107,0.8828020691871643,9.636582374572754
20120427-120718.841,1335553638841,Alti,318480102965000,1417.5112959677363,-26.146364573232027,816.1199951171875,1391.0466822743151,,,,,,,,,,,,,,,,,,,,Flight,2,7.58248233795166,-3.9450461864471436,4.81428861618042,0.43286845088005066,-0.2593182921409607,0.8617993593215942,9.353718757629395
20120427-120718.930,1335553638930,Alti,318480305236000,1410.281387038023,-26.496795679751667,816.7999877929688,1384.3047205420455,,,,,,,,,,,,,,,,,,,,Flight,2,7.563172340393066,-4.034111022949219,4.770729064941406,0.42529869079589844,-0.2756134867668152,0.8589527010917664,8.346293449401855
20120427-120719.181,1335553639181,Alti,318480508208000,1403.1076985331163,-26.82109272633271,817.3299560546875,1379.053365000821,,,,,,,,,,,,,,,,,,,,Flight,2,7.460336208343506,-3.779789924621582,5.127437591552734,0.4144832491874695,-0.2585788071155548,0.8691078424453735,7.71445369720459
20120427-120719.381,1335553639381,Alti,318480703460000,1396.417384017621,-27.083739957746513,817.5499877929688,1376.873921981117,,,,,,,,,,,,,,,,,,,,Flight,2,7.472909927368164,-4.47928524017334,4.508624076843262,0.4246269762516022,-0.29982325434684753,0.8518918752670288,11.048419952392578
20120427-120719.606,1335553639606,Alti,318480907775000,1389.9073728010515,-27.26021311224306,817.5599975585938,1376.774785244767,,,,,,,,,,,,,,,,,,,,Freefall,2,6.942113876342773,-4.749323844909668,5.048401832580566,0.39065754413604736,-0.3001244068145752,0.8689164519309998,12.521781921386719
20120427-120719.784,1335553639784,Alti,318481101897000,1383.5218994398276,-27.45794588357545,818.3699951171875,1368.7558237271105,,,,,,,,,,,,,,,,,,,,Freefall,2,6.712192058563232,-4.577630996704102,5.497917175292969,0.3768797218799591,-0.27882134914398193,0.8826488256454468,11.376867294311523
20120427-120720.33,1335553640033,Alti,318481305175000,1376.4208818705545,-27.732646736065327,819.6699829101563,1355.8993916929348,,,,,,,,,,,,,,,,,,,,Freefall,2,6.633006572723389,-4.263284683227539,5.8362135887146,0.376485139131546,-0.24655812978744507,0.8929779529571533,12.034693717956543
20120427-120720.120,1335553640120,Alti,318481500518000,1368.8045530348013,-28.130239446212933,821.3800048828125,1339.0129824848054,,,,,,,,,,,,,,,,,,,,Freefall,2,6.787186145782471,-4.087998867034912,5.784271717071533,-0.3882390260696411,0.2333412617444992,-0.8915277719497681,9.809809684753418
